git 2.37.2-1
github-cli 2.14.4-1
gl2ps 1.4.2-2
glances 3.2.7-1
glew 2.2.0-3
glib-networking 1:2.72.2-1
glib2 2.72.3-1
glibc 2.36-2
glibc-locales 2.35-1
glibmm 2.66.4-1
glow 1.4.1-3
glslang 11.11.0-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-netcat 0.7.1-8
gnupg 2.2.36-1
gnuplot 5.4.4-1
gnustep-base 1.28.0-4
gnutls 3.7.7-1
go 2:1.19-1
go-tools 4:0.1.12-1
gobject-introspection-runtime 1.72.0-1
godot 3.5-1
gopls 0.9.3-1
gpgme 1.18.0-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
grantlee 5.2.0-3
graphene 1.10.8-1
graphicsmagick 1.3.38-3
graphite 1:1.3.14-2
graphviz 5.0.0-2
grep 3.7-1
groff 1.22.4-7
grub 2.06.r261.g2f4430cc0-1
grub-btrfs 4.11-2
grub-theme-manjaro 20.2-12
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.22-1
gspell 1.10.0-2
gssdp 1.4.0.1-1
gssproxy 0.9.1-2
gst-libav 1.20.3-1
gst-plugins-bad 1.20.3-1
gst-plugins-bad-libs 1.20.3-1
gst-plugins-base 1.20.3-1
gst-plugins-base-libs 1.20.3-1
gst-plugins-good 1.20.3-1
gst-plugins-ugly 1.20.3-1
gstreamer 1.20.3-1
gtk-sharp-2 2.12.45-4
gtk-update-icon-cache 1:4.6.6-1
gtk2 2.24.33-2
gtk3 1:3.24.34-1
gtkmm3 3.24.6-1
gts 0.7.6.121130-2
gufw 22.04-1
guile 2.2.7-2
gupnp 1:1.4.3-1
gupnp-igd 1.2.0-2
gutenprint 5.3.4-1
gvfs 1.50.2-1
gvfs-afc 1.50.2-1
gvfs-gphoto2 1.50.2-1
gvfs-mtp 1.50.2-1
gvfs-nfs 1.50.2-1
gvfs-smb 1.50.2-1
gwenview 22.04.3-1
gzip 1.12-1
handbrake 1.5.1-2
harfbuzz 5.1.0-1
harfbuzz-icu 5.1.0-1
haskell-aeson 1.5.6.0-123
haskell-aeson-pretty 0.8.9-74
haskell-ansi-terminal 0.11.3-9
haskell-ansi-wl-pprint 0.6.9-326
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-181
haskell-asn1-parse 0.9.5-181
haskell-asn1-types 0.3.4-160
haskell-assoc 1.0.2-151
haskell-async 2.2.4-90
haskell-attoparsec 0.14.4-28
haskell-base-compat 0.12.1-1
haskell-base-compat-batteries 0.12.1-41
haskell-base-orphans 0.8.6-59
haskell-base-unicode-symbols 0.2.4.2-13
haskell-base16-bytestring 1.0.2.0-34
haskell-base64-bytestring 1.2.1.0-55
haskell-basement 0.0.14-1
haskell-bifunctors 5.5.12-15
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-178
haskell-blaze-markup 0.8.2.8-84
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-case-insensitive 1.2.1.0-157
haskell-cereal 0.5.8.2-2
haskell-citeproc 0.7-7
haskell-cmdargs 0.10.21-4
haskell-colour 2.3.6-118
haskell-commonmark 0.2.2-7
haskell-commonmark-extensions 0.2.3.2-4
haskell-commonmark-pandoc 0.2.1.2-62
haskell-comonad 5.0.8-154
haskell-conduit 1.3.4.2-71
haskell-conduit-extra 1.3.6-12
haskell-connection 0.3.1-208
haskell-cookie 0.4.5-12
haskell-cryptohash-sha256 0.11.102.1-45
haskell-cryptonite 0.30-24
haskell-data-default 0.7.1.1-239
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-252
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-56
haskell-diff 0.4.1-29
haskell-digest 0.0.1.3-2
haskell-distributive 0.6.2.1-157
haskell-dlist 1.0-174
haskell-doclayout 0.4-4
haskell-doctemplates 0.10.0.2-3
haskell-echo 0.1.4-4
haskell-ed25519 0.0.5.0-24
haskell-edit-distance 0.2.2.1-161
haskell-emojis 0.1.2-28
haskell-erf 2.0.0.0-24
haskell-file-embed 0.0.15.0-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-gitrev 1.3.1-30
haskell-glob 0.10.2-44
haskell-hackage-security 0.6.2.0-4
haskell-haddock-library 1.10.0-151
haskell-hashable 1.4.0.2-31
haskell-hourglass 0.2.12-200
haskell-hslua 2.2.0-11
haskell-hslua-aeson 2.2.0.1-2
haskell-hslua-classes 2.2.0-8
haskell-hslua-core 2.2.1-3
haskell-hslua-marshalling 2.2.0-8
haskell-hslua-module-doclayout 1.0.4-34
haskell-hslua-module-path 1.0.1-38
